"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"866068","Club_cells","Mesothelium",1030,0.312169312169312,0.702702702702703,0.312169312169312,"Club_cells->Mesothelium/1030","Ltf","Lrp1"
"866155","Club_cells","Smooth_muscle_cells",1030,0.312169312169312,0.347826086956522,0.312169312169312,"Club_cells->Smooth_muscle_cells/1030","Ltf","Lrp1"
"867112","Club_cells","AT2",1032,0.312169312169312,0.405865102639296,0.312169312169312,"Club_cells->AT2/1032","Ltf","Tfrc"
"867402","Club_cells","Club_cells",1032,0.312169312169312,0.185185185185185,0.185185185185185,"Club_cells->Club_cells/1032","Ltf","Tfrc"
"867518","Club_cells","Ciliated_cells",1032,0.312169312169312,0.110091743119266,0.110091743119266,"Club_cells->Ciliated_cells/1032","Ltf","Tfrc"
"867547","Club_cells","AT2_Retnla",1032,0.312169312169312,0.49738219895288,0.312169312169312,"Club_cells->AT2_Retnla/1032","Ltf","Tfrc"
"867605","Club_cells","Proliferating_TRAM",1032,0.312169312169312,0.128571428571429,0.128571428571429,"Club_cells->Proliferating_TRAM/1032","Ltf","Tfrc"
"867634","Club_cells","pDC",1032,0.312169312169312,0.166666666666667,0.166666666666667,"Club_cells->pDC/1032","Ltf","Tfrc"
"883897","TRAM","Classical_monocytes",1052,0.256380510440835,0.25,0.25,"TRAM->Classical_monocytes/1052","Mmp12","Plaur"
"884013","TRAM","Non-classical_monocytes",1052,0.256380510440835,0.198275862068966,0.198275862068966,"TRAM->Non-classical_monocytes/1052","Mmp12","Plaur"
"884042","TRAM","TRAM",1052,0.256380510440835,0.466357308584687,0.256380510440835,"TRAM->TRAM/1052","Mmp12","Plaur"
"884071","TRAM","Neutrophils",1052,0.256380510440835,0.186746987951807,0.186746987951807,"TRAM->Neutrophils/1052","Mmp12","Plaur"
"884187","TRAM","Endo_1",1052,0.256380510440835,0.142045454545455,0.142045454545455,"TRAM->Endo_1/1052","Mmp12","Plaur"
"884274","TRAM","Endo_2",1052,0.256380510440835,0.291139240506329,0.256380510440835,"TRAM->Endo_2/1052","Mmp12","Plaur"
"884303","TRAM","MoAM",1052,0.256380510440835,0.467213114754098,0.256380510440835,"TRAM->MoAM/1052","Mmp12","Plaur"
"884419","TRAM","Proliferating_TRAM",1052,0.256380510440835,0.357142857142857,0.256380510440835,"TRAM->Proliferating_TRAM/1052","Mmp12","Plaur"
"884448","TRAM","pDC",1052,0.256380510440835,0.104166666666667,0.104166666666667,"TRAM->pDC/1052","Mmp12","Plaur"
"884564","TRAM","Mesothelium",1052,0.256380510440835,0.108108108108108,0.108108108108108,"TRAM->Mesothelium/1052","Mmp12","Plaur"
"884593","TRAM","AT1",1052,0.256380510440835,0.147058823529412,0.147058823529412,"TRAM->AT1/1052","Mmp12","Plaur"
"884680","TRAM","Lymphatics",1052,0.256380510440835,0.16,0.16,"TRAM->Lymphatics/1052","Mmp12","Plaur"
"884709","TRAM","Mast_cells",1052,0.256380510440835,0.333333333333333,0.256380510440835,"TRAM->Mast_cells/1052","Mmp12","Plaur"
"890198","Endo_2","MoAM",1059,0.113924050632911,0.778688524590164,0.113924050632911,"Endo_2->MoAM/1059","Mmp9","Lrp1"
"971774","DC1","MoAM",1156,0.117647058823529,0.778688524590164,0.117647058823529,"DC1->MoAM/1156","Pdgfb","Lrp1"
"971790","Mast_cells","MoAM",1156,0.333333333333333,0.778688524590164,0.333333333333333,"Mast_cells->MoAM/1156","Pdgfb","Lrp1"
"984326","IM","DC1",1171,0.698369565217391,0.176470588235294,0.176470588235294,"IM->DC1/1171","Pf4","Cxcr3"
"985109","IM","Endo_1",1172,0.698369565217391,0.125,0.125,"IM->Endo_1/1172","Pf4","Fgfr2"
"985805","IM","TRAM",1173,0.698369565217391,0.168213457076566,0.168213457076566,"IM->TRAM/1173","Pf4","Ldlr"
"985950","IM","Endo_1",1173,0.698369565217391,0.119318181818182,0.119318181818182,"IM->Endo_1/1173","Pf4","Ldlr"
"986066","IM","MoAM",1173,0.698369565217391,0.209016393442623,0.209016393442623,"IM->MoAM/1173","Pf4","Ldlr"
"986095","IM","Ciliated_cells",1173,0.698369565217391,0.146788990825688,0.146788990825688,"IM->Ciliated_cells/1173","Pf4","Ldlr"
"986269","IM","Fibroblasts",1173,0.698369565217391,0.160714285714286,0.160714285714286,"IM->Fibroblasts/1173","Pf4","Ldlr"
"986298","IM","Ccr7_DC",1173,0.698369565217391,0.301204819277108,0.301204819277108,"IM->Ccr7_DC/1173","Pf4","Ldlr"
"986356","IM","AT1",1173,0.698369565217391,0.117647058823529,0.117647058823529,"IM->AT1/1173","Pf4","Ldlr"
"986414","IM","Smooth_muscle_cells",1173,0.698369565217391,0.130434782608696,0.130434782608696,"IM->Smooth_muscle_cells/1173","Pf4","Ldlr"
"986907","IM","MoAM",1174,0.698369565217391,0.131147540983607,0.131147540983607,"IM->MoAM/1174","Pf4","Procr"
